,animeA,num_recommenders
20215,6971,
20216,39360,
20217,13731,
20218,11977,
20219,2167,
20220,2452,
20221,1652,
20222,1288,
20223,4188,
20224,4939,
20225,50706,
20226,35853,
20227,36946,
20228,4454,
20229,22265,
20230,2062,
20231,12565,
20232,3572,
20233,474,
20234,25967,
20235,4810,
20236,24459,
20237,10177,
20238,21707,
20239,2253,
20240,1357,
20241,2061,
20242,38705,
20243,10607,
20244,1651,
20245,34566,
20246,6653,
20247,39361,
20248,36215,
20249,22699,
20250,2076,
20251,9969,
20252,1000,
20253,10074,
20254,35854,
20255,48903,
20256,1969,
20257,3008,
20258,2892,
20259,4690,
20260,48365,
20261,22297,
20262,4690,
20263,33192,
20264,33371,
20265,28701,
20266,3546,
20267,2222,
20268,10342,
20269,3546,
20270,2386,
20271,33192,
20272,892,
20273,891,
20274,6033,
20275,40367,
20276,1967,
20277,223,
20278,16143,
20279,32792,
20280,3545,
20281,3786,
20282,3546,
20283,3848,
20284,891,
20285,30246,
20286,37501,
20287,29729,
20288,17813,
20289,33231,
20290,38067,
20291,27815,
20292,2593,
20293,27567,
20294,43751,
20295,43629,
20296,37311,
20297,34549,
20298,33740,
20299,35840,
20300,40870,
20301,40460,
20302,32521,
20303,35266,
20304,32153,
20305,37596,
20306,38897,
20307,34454,
20308,40644,
20309,44212,
20310,13173,
20311,8176,
20312,3508,
20313,16576,
20314,22215,
20315,23889,
20316,37249,
20317,37398,
20318,31073,
20319,33880,
20320,43565,
20321,3444,
20322,925,
20323,35960,
20324,860,
20325,51125,
20326,48754,
20327,35317,
20328,8635,
20329,37562,
20330,5658,
20331,11717,
20332,34019,
20333,7739,
20334,40437,
20335,5812,
20336,37307,
20337,34239,
20338,51013,
20339,37600,
20340,36865,
20341,25457,
20342,30923,
20343,38299,
20344,1096,
20345,18391,
20346,4130,
20347,3318,
20348,11799,
20349,6985,
20350,13171,
20351,20371,
20352,36759,
20353,12995,
20354,1604,
20355,4719,
20356,6061,
20357,19297,
20358,33834,
20359,825,
20360,27419,
20361,38055,
20362,49026,
20363,36759,
20364,37302,
20365,2306,
20366,25267,
20367,39653,
20368,5871,
20369,11537,
20370,17813,
20371,38562,
20372,37430,
20373,39249,
20374,33360,
20375,33741,
20376,9756,
20377,32867,
20378,9629,
20379,34239,
20380,20159,
20381,44200,
20382,33922,
20383,27441,
20384,7435,
20385,32989,
20386,3784,
20387,34764,
20388,31617,
20389,34514,
20390,38086,
20391,37885,
20392,86,
20393,20955,
20394,8769,
20395,36497,
20396,35310,
20397,36234,
20398,41052,
20399,40342,
20400,35551,
20401,36914,
20402,33513,
20403,38474,
20404,10607,
20405,30276,
20406,36936,
20407,36564,
20408,46808,
20409,33170,
20410,40880,
20411,24123,
20412,48409,
20413,9735,
20414,31055,
20415,33881,
20416,37124,
20417,33875,
20418,9065,
20419,37859,
20420,11569,
20421,3972,
20422,42476,
20423,43751,
20424,1477,
20425,1968,
20426,6331,
20427,33669,
20428,13677,
20429,25973,
20430,39477,
20431,3786,
20432,4690,
20433,4081,
20434,35311,
20435,32681,
20436,11341,
20437,33026,
20438,19799,
20439,35635,
20440,873,
20441,147,
20442,14093,
20443,13119,
20444,1487,
20445,5250,
20446,37249,
20447,42422,
20448,34591,
20449,37302,
20450,31181,
20451,37850,
20452,33226,
20453,30,
20454,1091,
20455,32153,
20456,7472,
20457,13261,
20458,5231,
20459,18109,
20460,34540,
20461,1845,
20462,51013,
20463,30790,
20464,42422,
20465,32734,
20466,36517,
20467,41030,
20468,49785,
20469,30311,
20470,29583,
20471,34239,
20472,43483,
20473,36624,
20474,6872,
20475,32739,
20476,35307,
20477,10087,
20478,32730,
20479,33922,
20480,49827,
20481,34161,
20482,41283,
20483,40587,
20484,19799,
20485,3318,
20486,39697,
20487,36715,
20488,34077,
20489,35310,
20490,37870,
20491,42916,
20492,28675,
20493,33573,
20494,36549,
20495,19111,
20496,16373,
20497,38683,
20498,13817,
20499,37302,
20500,24835,
20501,41497,
20502,40250,
20503,281,
20504,32736,
20505,37933,
20506,10257,
20507,550,
20508,43568,
20509,30745,
20510,35191,
20511,11569,
20512,9170,
20513,34915,
20514,36995,
20515,38055,
20516,30122,
20517,39659,
20518,35309,
20519,41497,
20520,21743,
20521,36064,
20522,39067,
20523,32149,
20524,37664,
20525,33225,
20526,18097,
20527,40206,
20528,38784,
20529,19489,
20530,34670,
20531,37626,
20532,31765,
20533,35191,
20534,19285,
20535,5723,
20536,33669,
20537,28675,
20538,6525,
20539,51156,
20540,35287,
20541,4939,
20542,36497,
20543,40298,
20544,36439,
20545,32937,
20546,1458,
20547,33489,
20548,3932,
20549,30754,
20550,38110,
20551,36838,
20552,16373,
20553,36704,
20554,1678,
20555,40761,
20556,2252,
20557,33047,
20558,17815,
20559,14093,
20560,37859,
20561,33881,
20562,3033,
20563,20,
20564,31647,
20565,41497,
20566,9735,
20567,35855,
20568,49396,
20569,38705,
20570,5250,
20571,33880,
20572,17813,
20573,37969,
20574,6970,
20575,14349,
20576,30415,
20577,36914,
20578,35635,
20579,37124,
20580,49211,
20581,17791,
20582,49233,
20583,30777,
20584,4808,
20585,39721,
20586,36724,
20587,4130,
20588,8394,
20589,6525,
20590,37028,
20591,41136,
20592,28977,
20593,37285,
20594,31050,
20595,39529,
20596,40357,
20597,36564,
20598,34302,
20599,956,
20600,36553,
20601,31846,
20602,36714,
20603,30122,
20604,3784,
20605,38982,
20606,34844,
20607,38025,
20608,10686,
20609,33669,
20610,28511,
20611,11569,
20612,40587,
20613,38201,
20614,31174,
20615,30150,
20616,38767,
20617,2892,
20618,34723,
20619,13183,
20620,14353,
20621,33225,
20622,31115,
20623,31240,
20624,38936,
20625,20355,
20626,30757,
20627,29729,
20628,35067,
20629,44248,
20630,35311,
20631,38850,
20632,7472,
20633,5753,
20634,20,
20635,37051,
20636,37324,
20637,14353,
20638,10909,
20639,38850,
20640,38672,
20641,21407,
20642,41567,
20643,12979,
20644,39587,
20645,3444,
20646,28149,
20647,1534,
20648,40587,
20649,38084,
20650,32615,
20651,1856,
20652,2759,
20653,39277,
20654,38472,
20655,15335,
20656,13817,
20657,51018,
20658,32681,
20659,5526,
20660,33226,
20661,28149,
20662,603,
20663,31049,
20664,40714,
20665,32739,
20666,21407,
20667,24835,
20668,14093,
20669,5723,
20670,46650,
20671,23943,
20672,893,
20673,40587,
20674,39935,
20675,19799,
20676,169,
20677,8176,
20678,34321,
20679,33669,
20680,37969,
20681,37969,
20682,30757,
20683,39183,
20684,33047,
20685,21407,
20686,40610,
20687,36915,
20688,33875,
20689,8438,
20690,8133,
20691,28977,
20692,30122,
20693,40610,
20694,36927,
20695,37143,
20696,38653,
20697,18679,
20698,36132,
20699,37851,
20700,37865,
20701,18679,
20702,6731,
20703,33878,
20704,32681,
20705,33882,
20706,38055,
20707,41030,
20708,3785,
20709,17621,
20710,5270,
20711,40478,
20712,38299,
20713,20355,
20714,3786,
20715,13821,
20716,30122,
20717,34549,
20718,3785,
20719,42136,
20720,49827,
20721,35283,
20722,32927,
20723,4130,
20724,1856,
20725,19489,
20726,37285,
20727,147,
20728,13863,
20729,22661,
20730,37764,
20731,918,
20732,84,
20733,37843,
20734,33225,
20735,33051,
20736,147,
20737,51145,
20738,37818,
20739,33149,
20740,37818,
20741,28149,
20742,6336,
20743,34036,
20744,49730,
20745,82,
20746,41030,
20747,24835,
20748,33875,
20749,42697,
20750,14349,
20751,50084,
20752,147,
20753,2269,
20754,41030,
20755,18679,
20756,38982,
20757,33875,
20758,49828,
20759,33878,
20760,22661,
20761,85,
20762,35224,
20763,892,
20764,32,
20765,33225,
20766,36624,
20767,37902,
20768,84,
20769,36241,
20770,33881,
20771,22661,
20772,93,
20773,39362,
20774,32681,
20775,49828,
20776,15323,
20777,31115,
20778,7261,
20779,28149,
20780,4130,
20781,6336,
20782,49828,
20783,1969,
20784,34549,
20785,34549,
20786,3784,
20787,49827,
20788,2225,
20789,33880,
20790,37764,
20791,9170,
20792,5723,
20793,1967,
20794,37764,
20795,3312,
20796,2225,
20797,1969,
20798,84,
20799,3312,
20800,33051,
20801,3785,
20802,1939,
20803,49827,
20804,50696,
20805,24835,
20806,51162,
20807,225,
20808,22777,
20809,2386,
20810,37885,
20811,32437,
20812,80,
20813,22661,
20814,49211,
20815,9170,
20816,28149,
20817,23387,
20818,40762,
20819,617,
20820,383,
20821,550,
20822,36516,
20823,2227,
20824,33352,
20825,38491,
20826,34019,
20827,6658,
20828,35015,
20829,3231,
20830,8963,
20831,422,
20832,972,
20833,23269,
20834,6893,
20835,331,
20836,232,
20837,10713,
20838,12753,
20839,32182,
20840,16756,
20841,46971,
20842,6772,
20843,291,
20844,263,
20845,20473,
20846,12113,
20847,1392,
20848,40748,
20849,37184,
20850,1288,
20851,38435,
20852,47816,
20853,264,
20854,44078,
20855,4444,
20856,10119,
20857,5667,
20858,18507,
20859,36083,
20860,32836,
20861,14713,
20862,861,
20863,37515,
20864,18,
20865,21097,
20866,14741,
20867,29101,
20868,21427,
20869,8456,
20870,47816,
20871,7435,
20872,3586,
20873,15905,
20874,3604,
20875,4081,
20876,35788,
20877,1313,
20878,32867,
20879,40489,
20880,16894,
20881,527,
20882,6171,
20883,44147,
20884,25967,
20885,15125,
20886,26395,
20887,32409,
20888,31324,
20889,5690,
20890,36824,
20891,36342,
20892,34129,
20893,42392,
20894,19613,
20895,869,
20896,34467,
20897,26395,
20898,41587,
20899,49063,
20900,8624,
20901,38024,
20902,29687,
20903,40024,
20904,38129,
20905,11741,
20906,1669,
20907,33661,
20908,34314,
20909,13821,
20910,34161,
20911,33002,
20912,34540,
20913,89,
20914,37245,
20915,704,
20916,49889,
20917,10271,
20918,32228,
20919,1249,
20920,29829,
20921,5419,
20922,40733,
20923,11237,
20924,33746,
20925,40542,
20926,34207,
20927,17341,
20928,8706,
20929,32270,
20930,26123,
20931,31019,
20932,1886,
20933,1473,
20934,48862,
20935,33377,
20936,32582,
20937,1389,
20938,8516,
20939,50599,
20940,1297,
20941,7334,
20942,1042,
20943,23399,
20944,39469,
20945,25977,
20946,38621,
20947,33541,
20948,9241,
20949,40020,
20950,45599,
20951,48951,
20952,40591,
20953,34299,
20954,10080,
20955,47777,
20956,4901,
20957,38436,
20958,1425,
20959,49398,
20960,1831,
20961,50364,
20962,10743,
20963,49572,
20964,10924,
20965,31319,
20966,35265,
20967,37027,
20968,50193,
20969,48549,
20970,6572,
20971,11371,
20972,2013,
20973,37441,
20974,4789,
20975,45448,
20976,39486,
20977,41404,
20978,39166,
20979,31789,
20980,40880,
20981,41674,
20982,20221,
20983,41529,
20984,39587,
20985,48491,
20986,46652,
20987,38129,
20988,49549,
20989,34941,
20990,37283,
20991,14093,
20992,4476,
20993,32551,
20994,15201,
20995,30711,
20996,48694,
20997,10370,
20998,33050,
20999,721,
21000,168,
21001,22199,
21002,4486,
21003,24833,
21004,28405,
21005,38691,
21006,24277,
21007,31783,
21008,24701,
21009,21329,
21010,31765,
21011,39597,
21012,21881,
21013,18179,
21014,486,
21015,76,
21016,482,
21017,29803,
21018,8937,
21019,31240,
21020,21,
21021,37290,
21022,32937,
21023,41567,
21024,39587,
21025,89,
21026,33371,
21027,223,
21028,223,
21029,35770,
21030,30450,
21031,2461,
21032,12375,
21033,1176,
21034,6078,
21035,32642,
21036,45643,
21037,33905,
21038,8,
21039,3835,
21040,7573,
21041,12143,
21042,35976,
21043,8130,
21044,13421,
21045,31741,
21046,48909,
21047,1022,
21048,28067,
21049,38496,
21050,38099,
21051,25867,
21052,38424,
21053,932,
21054,3389,
21055,8745,
21056,34309,
21057,2130,
21058,36740,
21059,30240,
21060,4522,
21061,42811,
21062,2944,
21063,1692,
21064,11031,
21065,19121,
21066,50923,
21067,38935,
21068,15893,
21069,1100,
21070,33398,
21071,36520,
21072,800,
21073,33694,
21074,31694,
21075,44074,
21076,40786,
21077,5559,
21078,16021,
21079,34888,
21080,23519,
21081,42361,
21082,2950,
21083,48323,
21084,35594,
21085,3020,
21086,49691,
21087,24037,
21088,34799,
21089,553,
21090,34929,
21091,34361,
21092,11995,
21093,41466,
21094,18389,
21095,29919,
21096,36670,
21097,17747,
21098,39668,
21099,6557,
21100,7877,
21101,34368,
21102,43490,
21103,3358,
21104,3463,
21105,42346,
21106,11221,
21107,19351,
21108,23275,
21109,40526,
21110,30013,
21111,16189,
21112,13171,
21113,29589,
21114,10723,
21115,50208,
21116,253,
21117,31716,
21118,39918,
21119,3063,
21120,3131,
21121,5992,
21122,35241,
21123,1079,
21124,33872,
21125,36182,
21126,40885,
21127,1292,
21128,36884,
21129,49422,
21130,3667,
21131,9825,
21132,634,
21133,10325,
21134,35215,
21135,43538,
21136,1316,
21137,24981,
21138,34924,
21139,9587,
21140,980,
21141,33083,
21142,43519,
21143,2083,
21144,30375,
21145,30307,
21146,38464,
21147,29513,
21148,22167,
21149,38470,
21150,22535,
21151,3999,
21152,3078,
21153,34825,
21154,2135,
21155,36574,
21156,6829,
21157,26243,
21158,42834,
21159,39468,
21160,48969,
21161,6131,
21162,30473,
21163,3995,
21164,15843,
21165,3384,
21166,39179,
21167,637,
21168,4948,
21169,40530,
21170,40727,
21171,19383,
21172,29301,
21173,6654,
21174,2373,
21175,1069,
21176,2232,
21177,8848,
21178,33728,
21179,33443,
21180,36657,
21181,40602,
21182,31678,
21183,37620,
21184,12657,
21185,6061,
21186,37510,
21187,10845,
21188,1317,
21189,284,
21190,33539,
21191,4195,
21192,37717,
21193,41290,
21194,12403,
21195,5136,
21196,37481,
21197,42458,
21198,7322,
21199,5029,
21200,12437,
21201,2684,
21202,35818,
21203,7654,
21204,33753,
21205,2828,
21206,38422,
21207,9340,
21208,40639,
21209,2057,
21210,4075,
21211,7752,
21212,35113,
21213,33185,
21214,21607,
21215,36539,
21216,35985,
21217,29975,
21218,49771,
21219,2207,
21220,48604,
21221,25999,
21222,9389,
21223,2428,
21224,40434,
21225,33026,
21226,37975,
21227,37047,
21228,37496,
21229,30654,
21230,9346,
21231,4244,
21232,32276,
21233,283,
21234,10298,
21235,77,
21236,49208,
21237,558,
21238,10122,
21239,530,
21240,21195,
21241,38416,
21242,6637,
21243,37181,
21244,37095,
21245,38768,
21246,2028,
21247,6377,
21248,37036,
21249,37341,
21250,293,
21251,40729,
21252,39356,
21253,7579,
21254,28227,
21255,4365,
21256,12485,
21257,1008,
21258,41135,
21259,1426,
21260,34607,
21261,48941,
21262,632,
21263,3352,
21264,30485,
21265,4662,
21266,10528,
21267,10647,
21268,27601,
21269,31967,
21270,51152,
21271,5947,
21272,38883,
21273,34901,
21274,139,
21275,13767,
21276,48426,
21277,12455,
21278,37037,
21279,28215,
21280,36686,
21281,33975,
21282,29583,
21283,38149,
21284,34870,
21285,20909,
21286,29687,
21287,37308,
21288,38132,
21289,26017,
21290,31158,
21291,1348,
21292,22673,
21293,17187,
21294,3854,
21295,12725,
21296,50846,
21297,37566,
21298,3745,
21299,41529,
21300,37112,
21301,49153,
21302,39067,
21303,36714,
21304,356,
21305,3932,
21306,40156,
21307,35612,
21308,34489,
21309,35072,
21310,34904,
21311,17843,
21312,37051,
21313,11073,
21314,51018,
21315,35551,
21316,38720,
21317,1238,
21318,36825,
21319,35567,
21320,33192,
21321,33881,
21322,32454,
21323,10444,
21324,35890,
21325,808,
21326,8057,
21327,3328,
21328,8248,
21329,38075,
21330,5955,
21331,1092,
21332,1720,
21333,34787,
21334,2536,
21335,1165,
21336,21407,
21337,25875,
21338,12685,
21339,44191,
21340,35180,
21341,32108,
21342,37422,
21343,1999,
21344,32228,
21345,8443,
21346,27815,
21347,3256,
21348,33358,
21349,37307,
21350,41160,
21351,8551,
21352,13145,
21353,38524,
21354,31722,
21355,41074,
21356,13145,
21357,2725,
21358,8133,
21359,5753,
21360,15649,
21361,1092,
21362,2470,
21363,37422,
21364,35883,
21365,5658,
21366,35883,
21367,50084,
21368,39592,
21369,86,
21370,9979,
21371,5658,
21372,37765,
21373,35224,
21374,50084,
21375,32792,
21376,94,
21377,33192,
21378,50696,
21379,32792,
21380,84,
21381,1090,
21382,6941,
21383,80,
21384,2466,
21385,8935,
21386,23213,
21387,40357,
21388,40246,
21389,35770,
21390,30144,
21391,48549,
21392,15417,
21393,10033,
21394,30911,
21395,5306,
21396,35454,
21397,39310,
21398,34817,
21399,176,
21400,19067,
21401,940,
21402,34901,
21403,34086,
21404,35454,
21405,23831,
21406,23135,
21407,40357,
21408,39282,
21409,10012,
21410,5231,
21411,39993,
21412,31049,
21413,40356,
21414,34901,
21415,29687,
21416,41567,
21417,30831,
21418,37484,
21419,34905,
21420,31670,
21421,29803,
21422,17074,
21423,34052,
21424,35716,
21425,24909,
21426,30039,
21427,48365,
21428,24909,
21429,15335,
21430,2225,
21431,23701,
21432,39482,
21433,84,
21434,34892,
21435,41586,
21436,32879,
21437,24743,
21438,15325,
21439,28447,
21440,8171,
21441,50282,
21442,664,
21443,10297,
21444,38061,
21445,39607,
21446,8950,
21447,47410,
21448,36424,
21449,9759,
21450,37865,
21451,6948,
21452,38971,
21453,36796,
21454,51221,
21455,36783,
21456,27891,
21457,35018,
21458,51222,
21459,20667,
21460,12441,
21461,12337,
21462,82,
21463,37764,
21464,31289,
21465,2490,
21466,2490,
21467,16143,
21468,2385,
21469,31289,
21470,50696,
21471,83,
21472,36683,
21473,35073,
21474,6948,
21475,31121,
21476,714,
21477,16508,
21478,37951,
21479,24973,
21480,36632,
21481,8123,
21482,37496,
21483,21255,
21484,16740,
21485,15095,
21486,33337,
21487,235,
21488,951,
21489,35427,
21490,34295,
21491,39358,
21492,40181,
21493,1925,
21494,28819,
21495,35860,
21496,1087,
21497,33874,
21498,5081,
21499,9883,
21500,36836,
21501,32956,
21502,36410,
21503,30375,
21504,36028,
21505,372,
21506,17359,
21507,36431,
21508,19647,
21509,26023,
21510,35652,
21511,39274,
21512,1445,
21513,31486,
21514,98,
21515,7768,
21516,14719,
21517,30363,
21518,6746,
21519,37934,
21520,35262,
21521,10055,
21522,32316,
21523,176,
21524,37241,
21525,31158,
21526,10297,
21527,30679,
21528,33876,
21529,40454,
21530,5751,
21531,15649,
21532,37933,
21533,33454,
21534,2222,
21535,762,
21536,6941,
21537,7375,
21538,51162,
21539,20,
21540,1239,
21541,35370,
21542,1373,
21543,3067,
21544,2624,
21545,30617,
21546,40779,
21547,34036,
21548,11385,
21549,18507,
21550,16373,
21551,512,
21552,940,
21553,49395,
21554,25517,
21555,235,
21556,32511,
21557,3545,
21558,33880,
21559,9863,
21560,37096,
21561,34566,
21562,8355,
21563,17791,
21564,4939,
21565,3044,
21566,1815,
21567,42697,
21568,33874,
21569,3545,
21570,39363,
21571,42091,
21572,23777,
21573,17791,
21574,1241,
21575,34034,
21576,33915,
21577,15649,
21578,1566,
21579,6525,
21580,1735,
21581,33878,
21582,12979,
21583,36239,
21584,34440,
21585,42385,
21586,8551,
21587,17359,
21588,39478,
21589,30144,
21590,51018,
21591,40156,
21592,37902,
21593,30144,
21594,40181,
21595,41074,
21596,33874,
21597,966,
21598,34540,
21599,33878,
21600,33149,
21601,35854,
21602,1565,
21603,40156,
21604,32108,
21605,34438,
21606,35859,
21607,4712,
21608,38562,
21609,21,
21610,30754,
21611,42136,
21612,37851,
21613,39587,
21614,6877,
21615,51234,
21616,527,
21617,50840,
21618,31592,
21619,21479,
21620,37675,
21621,27525,
21622,39361,
21623,246,
21624,35073,
21625,3848,
21626,2406,
21627,46650,
21628,35770,
21629,1983,
21630,34514,
21631,46171,
21632,36239,
21633,2490,
21634,35447,
21635,48409,
21636,39361,
21637,6702,
21638,33050,
21639,7645,
21640,38959,
21641,2398,
21642,19489,
21643,19123,
21644,33669,
21645,49730,
21646,10954,
21647,35206,
21648,33145,
21649,2252,
21650,2385,
21651,38022,
21652,31115,
21653,33146,
21654,11073,
21655,13183,
21656,34036,
21657,33146,
21658,891,
21659,38085,
21660,38897,
21661,43745,
21662,33145,
21663,7645,
21664,49119,
21665,41590,
21666,918,
21667,46650,
21668,31592,
21669,36995,
21670,15323,
21671,28511,
21672,32437,
21673,42476,
21674,38784,
21675,987,
21676,2363,
21677,32158,
21678,603,
21679,5225,
21680,47413,
21681,2695,
21682,51234,
21683,7472,
21684,3546,
21685,37764,
21686,3848,
21687,21,
21688,11359,
21689,21695,
21690,36914,
21691,38897,
21692,37885,
21693,36871,
21694,42476,
21695,33876,
21696,19291,
21697,33879,
21698,8171,
21699,37865,
21700,37851,
21701,2406,
21702,36825,
21703,39369,
21704,38299,
21705,22695,
21706,8171,
21707,47413,
21708,8176,
21709,41136,
21710,40367,
21711,33874,
21712,32437,
21713,2363,
21714,22297,
21715,51162,
21716,14093,
21717,35790,
21718,891,
21719,971,
21720,6941,
21721,33225,
21722,37885,
21723,33145,
21724,51145,
21725,35551,
21726,223,
21727,10012,
21728,3044,
21729,37290,
21730,39277,
21731,39363,
21732,512,
21733,33875,
21734,36760,
21735,19123,
21736,44248,
21737,8551,
21738,35018,
21739,51018,
21740,35859,
21741,20159,
21742,33489,
21743,34034,
21744,32359,
21745,14123,
21746,2363,
21747,31592,
21748,17115,
21749,11359,
21750,39721,
21751,33051,
21752,1426,
21753,225,
21754,34540,
21755,25517,
21756,3444,
21757,28683,
21758,33881,
21759,33146,
21760,33145,
21761,25517,
21762,2222,
21763,10033,
21764,36825,
21765,15335,
21766,893,
21767,2747,
21768,10033,
21769,48903,
21770,22661,
21771,50696,
21772,33882,
21773,1939,
21774,36825,
21775,36825,
21776,51150,
21777,8310,
21778,502,
21779,19291,
21780,42476,
21781,36269,
21782,235,
21783,33882,
21784,31289,
21785,40351,
21786,892,
21787,28853,
21788,22777,
21789,31115,
21790,31750,
21791,14093,
21792,35632,
21793,1425,
21794,33881,
21795,40181,
21796,33874,
21797,11359,
21798,50696,
21799,3044,
21800,36967,
21801,2225,
21802,39611,
21803,813,
21804,22661,
21805,33192,
21806,34034,
21807,225,
21808,39611,
21809,33454,
21810,891,
21811,12851,
21812,4130,
21813,33454,
21814,10074,
21815,2225,
21816,22661,
21817,3545,
21818,36215,
21819,37290,
21820,39363,
21821,32158,
21822,36215,
21823,225,
21824,1969,
21825,971,
21826,33880,
21827,22695,
21828,3312,
21829,33878,
21830,37885,
21831,3312,
21832,49828,
21833,11359,
21834,28149,
21835,11359,
21836,15323,
21837,971,
21838,10937,
21839,9170,
21840,2386,
21841,36239,
21842,28683,
21843,34165,
21844,892,
21845,22777,
21846,6033,
21847,14837,
21848,6941,
21849,22699,
21850,37902,
21851,36239,
21852,2490,
21853,31251,
21854,93,
21855,21,
21856,562,
21857,10582,
21858,1924,
21859,1399,
21860,1434,
21861,33547,
21862,28215,
21863,10643,
21864,38179,
21865,11665,
21866,3219,
21867,8815,
21868,13357,
21869,37665,
21870,6527,
21871,28257,
21872,8546,
21873,24071,
21874,6467,
21875,17113,
21876,21899,
21877,32553,
21878,9124,
21879,32410,
21880,4213,
21881,40435,
21882,3129,
21883,8026,
21884,38419,
21885,9202,
21886,822,
21887,32983,
21888,32122,
21889,42979,
21890,1380,
21891,32383,
21892,2248,
21893,19319,
21894,9100,
21895,10808,
21896,33549,
21897,32160,
21898,461,
21899,15937,
21900,38201,
21901,37430,
21902,72,
21903,11659,
21904,41873,
21905,29868,
21906,1078,
21907,21075,
21908,8063,
21909,42603,
21910,37431,
21911,30449,
21912,19951,
21913,484,
21914,18619,
21915,35003,
21916,20977,
21917,27653,
21918,1317,
21919,1117,
21920,36286,
21921,21659,
21922,40659,
21923,6709,
21924,23249,
21925,1474,
21926,4469,
21927,10199,
21928,37873,
21929,8363,
21930,1215,
21931,33545,
21932,8546,
21933,2424,
21934,32349,
21935,897,
21936,19099,
21937,9999,
21938,34178,
21939,8360,
21940,39619,
21941,10628,
21942,2584,
21943,38810,
21944,4472,
21945,16680,
21946,10647,
21947,50046,
21948,3469,
21949,50673,
21950,37099,
21951,40440,
21952,33456,
21953,594,
21954,20517,
21955,34032,
21956,1117,
21957,1434,
21958,28861,
21959,36498,
21960,32887,
21961,39764,
21962,33571,
21963,33002,
21964,20767,
21965,1078,
21966,2954,
21967,33550,
21968,81,
21969,38211,
21970,3218,
21971,38140,
21972,37751,
21973,1795,
21974,37626,
21975,15783,
21976,631,
21977,450,
21978,33552,
21979,36458,
21980,13823,
21981,44161,
21982,17357,
21983,5163,
21984,33191,
21985,34812,
21986,36890,
21987,40497,
21988,8364,
21989,10870,
21990,452,
21991,37139,
21992,48126,
21993,11009,
21994,34644,
21995,1427,
21996,9617,
21997,2171,
21998,8687,
21999,19319,
22000,6246,
22001,36242,
22002,6581,
22003,8362,
22004,2458,
22005,2248,
22006,39429,
22007,2901,
22008,2472,
22009,8491,
22010,17163,
22011,31603,
22012,38714,
22013,41488,
22014,673,
22015,23871,
22016,34430,
22017,33544,
22018,30148,
22019,30757,
22020,897,
22021,42364,
22022,18231,
22023,33957,
22024,10917,
22025,9135,
22026,19261,
22027,1121,
22028,32087,
22029,462,
22030,10431,
22031,1659,
22032,30694,
22033,35631,
22034,1481,
22035,38623,
22036,41488,
22037,6178,
22038,17843,
22039,33571,
22040,6385,
22041,1670,
22042,3745,
22043,1412,
22044,81,
22045,10647,
22046,50562,
22047,36967,
22048,13767,
22049,37115,
22050,13263,
22051,3927,
22052,43975,
22053,34626,
22054,2951,
22055,35453,
22056,1400,
22057,33705,
22058,1119,
22059,38720,
22060,33310,
22061,528,
22062,40890,
22063,36566,
22064,31490,
22065,15783,
22066,16468,
22067,34626,
22068,8364,
22069,30449,
22070,9591,
22071,18851,
22072,5225,
22073,24591,
22074,8950,
22075,12255,
22076,32145,
22077,37960,
22078,30417,
22079,13827,
22080,40888,
22081,38629,
22082,31050,
22083,5494,
22084,6555,
22085,6178,
22086,33551,
22087,10276,
22088,14837,
22089,1521,
22090,34591,
22091,4437,
22092,4155,
22093,594,
22094,35949,
22095,2842,
22096,2450,
22097,35740,
22098,32191,
22099,40044,
22100,997,
22101,9591,
22102,13839,
22103,35806,
22104,34369,
22105,81,
22106,1363,
22107,33156,
22108,5526,
22109,23259,
22110,9982,
22111,594,
22112,3744,
22113,16395,
22114,3853,
22115,1894,
22116,49236,
22117,899,
22118,28367,
22119,4874,
22120,2514,
22121,8362,
22122,17113,
22123,1416,
22124,8368,
22125,49402,
22126,15307,
22127,34784,
22128,20909,
22129,2847,
22130,26017,
22131,2951,
22132,32087,
22133,18397,
22134,5460,
22135,5526,
22136,17161,
22137,44025,
22138,1366,
22139,33571,
22140,3019,
22141,35309,
22142,5460,
22143,899,
22144,903,
22145,38720,
22146,35306,
22147,1238,
22148,13827,
22149,1066,
22150,49361,
22151,30453,
22152,43483,
22153,19511,
22154,1365,
22155,6198,
22156,17699,
22157,36946,
22158,32145,
22159,31164,
22160,35112,
22161,38770,
22162,24591,
22163,32898,
22164,33156,
22165,4540,
22166,2847,
22167,36942,
22168,5844,
22169,1426,
22170,594,
22171,31454,
22172,49627,
22173,35982,
22174,20871,
22175,32900,
22176,8687,
22177,4540,
22178,32898,
22179,33074,
22180,8358,
22181,36242,
22182,1923,
22183,23293,
22184,33155,
22185,11009,
22186,6527,
22187,40836,
22188,23259,
22189,15307,
22190,33546,
22191,37028,
22192,36242,
22193,50562,
22194,9591,
22195,43204,
22196,1921,
22197,1629,
22198,36551,
22199,6527,
22200,31978,
22201,6325,
22202,32088,
22203,2606,
22204,26053,
22205,464,
22206,6275,
22207,3853,
22208,2253,
22209,35112,
22210,36761,
22211,6178,
22212,36551,
22213,8548,
22214,37966,
22215,11009,
22216,32842,
22217,26213,
22218,19109,
22219,35612,
22220,905,
22221,31973,
22222,31454,
22223,17707,
22224,13667,
22225,1424,
22226,21419,
22227,2248,
22228,36991,
22229,1924,
22230,10808,
22231,15783,
22232,17113,
22233,1432,
