,title,studios,type,genres,ratio_rank,completed_count,start_date,anime_id
12956,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Toei Animation,Special,Action|Adventure|Comedy|Drama|Fantasy|Super Power|Shounen,1424.0,42289,2013,19123
12957,Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu,Toei Animation,Special,Action|Adventure|Comedy|Fantasy|Martial Arts|Super Power|Shounen,2970.0,59890,1997,987
12958,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Production I.G,Special,Action|Mystery|Sci-Fi|Mecha|Police|Psychological|Seinen,1625.0,22932,2005,2449
12959,Dimension W: W no Tobira Online - Rose no Onayami Soudanshitsu,Studio 3Hz,Special,Sci-Fi|Seinen,7413.0,4265,2016,32410
12960,Kuroko no Basket: Mou Ikkai Yarimasen ka,Production I.G,Special,Comedy|Sports|School|Shounen,1398.0,34598,2014,22125
12961,True Tears: Mini Chara 4-koma Gekijou,P.A. Works,Special,Comedy|Parody|School,5589.0,6736,2008,6234
12962,Hibike! Euphonium: Kakedasu Monaka,Kyoto Animation,Special,Drama|Music|School,1118.0,39364,2015,31665
12963,Samurai Spirits: Haten Gouma no Shou,,Special,Adventure|Historical|Samurai|Shounen,8605.0,2141,1994,2591
12964,One Piece Film: Gold - Cine Mike Popcorn Kokuchi,,Special,Fantasy|Shounen,6392.0,3723,2016,36241
12965,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Shuka,Special,Action|Mystery|Supernatural,1158.0,40230,2015,30191
12966,Love Live! x Watering KissMint Collaboration CM,Sunrise,Special,Music,6028.0,3611,2016,32730
12967,Koyomi History,Shaft,Special,Comedy,4245.0,9184,2016,37139
12968,Azur Lane Recap,,Special,Action|Sci-Fi|Military,7587.0,2247,2019,40712
12969,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",Shuka,Special,Action|Drama|Historical,2156.0,35513,2017,34777
